dataset,metafolds,experiments,cutoff,seed,stage,component,value
fashion-mnist,1,2000,20,1545521,preprocessing,pre_scaling,False
fashion-mnist,1,2000,20,1545521,preprocessing,f_eng1,None
fashion-mnist,1,2000,20,1545521,preprocessing,f_eng2,None
fashion-mnist,1,2000,20,1545521,prediction,scaling,True
fashion-mnist,1,2000,20,1545521,prediction,algorithm,MLP
fashion-mnist,1,2000,20,1545522,preprocessing,pre_scaling,False
fashion-mnist,1,2000,20,1545522,preprocessing,f_eng1,None
fashion-mnist,1,2000,20,1545522,preprocessing,f_eng2,None
fashion-mnist,1,2000,20,1545522,prediction,scaling,True
fashion-mnist,1,2000,20,1545522,prediction,algorithm,MLP
fashion-mnist,1,2000,20,1545523,preprocessing,pre_scaling,False
fashion-mnist,1,2000,20,1545523,preprocessing,f_eng1,Selection
fashion-mnist,1,2000,20,1545523,preprocessing,f_eng2,None
fashion-mnist,1,2000,20,1545523,prediction,scaling,True
fashion-mnist,1,2000,20,1545523,prediction,algorithm,SVM
fashion-mnist,1,2000,20,1545524,preprocessing,pre_scaling,False
fashion-mnist,1,2000,20,1545524,preprocessing,f_eng1,None
fashion-mnist,1,2000,20,1545524,preprocessing,f_eng2,None
fashion-mnist,1,2000,20,1545524,prediction,scaling,True
fashion-mnist,1,2000,20,1545524,prediction,algorithm,LogisticRegression
fashion-mnist,1,2000,20,1585359,preprocessing,pre_scaling,False
fashion-mnist,1,2000,20,1585359,preprocessing,f_eng1,none
fashion-mnist,1,2000,20,1585359,preprocessing,f_eng2,none
fashion-mnist,1,2000,20,1585359,prediction,scaling,True
fashion-mnist,1,2000,20,1585359,prediction,algorithm,SVM
fashion-mnist,1,2000,20,1585360,preprocessing,pre_scaling,True
fashion-mnist,1,2000,20,1585360,preprocessing,f_eng1,none
fashion-mnist,1,2000,20,1585360,preprocessing,f_eng2,Selection
fashion-mnist,1,2000,20,1585360,prediction,scaling,False
fashion-mnist,1,2000,20,1585360,prediction,algorithm,SVM
fashion-mnist,1,2000,20,1585361,preprocessing,pre_scaling,False
fashion-mnist,1,2000,20,1585361,preprocessing,f_eng1,Selection
fashion-mnist,1,2000,20,1585361,preprocessing,f_eng2,none
fashion-mnist,1,2000,20,1585361,prediction,scaling,True
fashion-mnist,1,2000,20,1585361,prediction,algorithm,SVM
fashion-mnist,1,2000,20,1585362,preprocessing,pre_scaling,False
fashion-mnist,1,2000,20,1585362,preprocessing,f_eng1,none
fashion-mnist,1,2000,20,1585362,preprocessing,f_eng2,none
fashion-mnist,1,2000,20,1585362,prediction,scaling,True
